% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.509653993e+002 +3.509653993e+002 -1.111246007e+002 -1.111246007e+002 -3.8292e-001 -1.4936e+000 -2.8262e+000 -1.0514e+000 -1.6524e+000
7 +3.277386857e+002 +3.277386857e+002 -1.343513143e+002 -1.343513143e+002 +2.7803e+000 -1.3981e+000 -4.0158e+000 -3.3490e+000 +3.9159e-001
19 +2.941400822e+002 +2.941400822e+002 -1.679499178e+002 -1.679499178e+002 +8.4476e-001 -2.3313e-001 -2.5458e+000 +1.6275e-001 -1.3607e+000
36 +2.452955665e+002 +2.452955665e+002 -2.167944335e+002 -2.167944335e+002 -1.6453e+000 -7.2450e-001 -3.7372e+000 -6.0189e-001 -6.1309e-001
58 +2.346456119e+002 +2.346456119e+002 -2.274443881e+002 -2.274443881e+002 +1.5571e+000 -1.3512e-001 -3.2910e+000 -1.8429e+000 -2.8381e-001
60 +1.964888158e+002 +1.964888158e+002 -2.656011842e+002 -2.656011842e+002 +2.1805e-001 -1.8654e+000 -2.0436e+000 -2.8061e-001 +1.0035e+000
61 +1.551024352e+002 +1.551024352e+002 -3.069875648e+002 -3.069875648e+002 +2.2155e-001 -6.2172e-001 -1.0566e+000 -1.2292e+000 +4.9191e-002
79 +1.369813602e+002 +1.369813602e+002 -3.251086398e+002 -3.251086398e+002 -1.5088e+000 +6.4649e-001 +7.3931e-001 -1.2409e+000 +3.4664e-001
102 +1.061603429e+002 +1.061603429e+002 -3.559296571e+002 -3.559296571e+002 +1.2792e-002 -8.2074e-001 -1.0339e+000 -1.5903e-002 +1.9450e+000
109 +5.792849436e+001 +5.792849436e+001 -4.041615056e+002 -4.041615056e+002 +1.3375e+000 -8.0667e-002 -6.6342e-001 -4.8191e-001 +2.0607e+000
229 +4.363585514e+001 +4.363585514e+001 -4.184541449e+002 -4.184541449e+002 +1.4187e+000 +9.5494e-001 +2.0109e+000 +1.1184e+000 +1.3885e+000
250 +3.537738184e+001 +3.537738184e+001 -4.267126182e+002 -4.267126182e+002 +2.1115e-001 +1.4555e+000 +1.0133e+000 +2.4346e-001 +1.6066e+000
284 +1.887529224e+001 +1.887529224e+001 -4.432147078e+002 -4.432147078e+002 +5.1753e-001 +2.2057e+000 +1.7136e+000 +3.6967e-001 +1.9581e+000
598 +1.698117308e+001 +1.698117308e+001 -4.451088269e+002 -4.451088269e+002 +4.3315e-001 +2.2321e+000 +1.6196e+000 +8.1075e-001 +1.6159e+000
1161 +1.566271277e+001 +1.566271277e+001 -4.464272872e+002 -4.464272872e+002 +1.4028e+000 +1.5404e+000 +1.5297e+000 +7.9059e-001 +1.6062e+000
1202 +1.207352937e+001 +1.207352937e+001 -4.500164706e+002 -4.500164706e+002 +1.2631e+000 +2.9637e+000 +1.6549e+000 +1.1630e+000 +1.6038e+000
1741 +1.041140863e+001 +1.041140863e+001 -4.516785914e+002 -4.516785914e+002 +1.4070e+000 +2.3667e+000 +1.5987e+000 +7.6536e-001 +1.6255e+000
1833 +9.814244012e+000 +9.814244012e+000 -4.522757560e+002 -4.522757560e+002 +1.3200e+000 +2.3716e+000 +1.6065e+000 +7.4723e-001 +1.6488e+000
1987 +9.658677098e+000 +9.658677098e+000 -4.524313229e+002 -4.524313229e+002 +1.3474e+000 +3.0243e+000 +1.6719e+000 +3.2043e-001 +1.6281e+000
3420 +8.838330298e+000 +8.838330298e+000 -4.532516697e+002 -4.532516697e+002 +3.2619e-001 +2.3170e+000 +1.5807e+000 +7.3651e-001 +1.9620e+000
3427 +7.723690117e+000 +7.723690117e+000 -4.543663099e+002 -4.543663099e+002 +3.6228e-001 +3.1211e+000 +1.5810e+000 +7.4095e-001 +1.9951e+000
3605 +7.580246809e+000 +7.580246809e+000 -4.545097532e+002 -4.545097532e+002 +3.2765e-001 +3.1284e+000 +1.6081e+000 +7.1952e-001 +1.9812e+000
3629 +7.229810225e+000 +7.229810225e+000 -4.548601898e+002 -4.548601898e+002 +3.4404e-001 +3.1248e+000 +1.6152e+000 +7.2061e-001 +1.9931e+000
3923 +7.071368810e+000 +7.071368810e+000 -4.550186312e+002 -4.550186312e+002 +3.5314e-001 +3.1163e+000 +1.6166e+000 +7.2860e-001 +1.9882e+000
% function evaluation | noise-free fitness - Fopt (7.766000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.790768078e+003 +2.790768078e+003 +2.868428078e+003 +2.868428078e+003 +4.0292e+000 -5.6128e+000 +2.4281e+000 -7.6193e+000 -4.8515e+000
2 +2.734205519e+003 +2.734205519e+003 +2.811865519e+003 +2.811865519e+003 +5.5571e+000 -4.6419e+000 +2.5645e+000 -4.7405e+000 -5.8157e+000
3 +1.857518993e+003 +1.857518993e+003 +1.935178993e+003 +1.935178993e+003 +4.5608e+000 -4.4061e+000 +2.6307e+000 -3.1821e+000 -4.5468e+000
4 +8.703790730e+002 +8.703790730e+002 +9.480390730e+002 +9.480390730e+002 +6.2563e-001 -2.8746e+000 -3.2253e+000 -5.6125e+000 -3.1370e+000
28 +8.317802582e+002 +8.317802582e+002 +9.094402582e+002 +9.094402582e+002 +3.1331e+000 -3.1545e+000 +1.2827e+000 -3.4302e+000 -5.1806e+000
42 +6.190745687e+002 +6.190745687e+002 +6.967345687e+002 +6.967345687e+002 +2.8598e+000 -5.5274e+000 -2.9913e-001 -3.0967e+000 -2.8606e+000
49 +4.061763754e+002 +4.061763754e+002 +4.838363754e+002 +4.838363754e+002 +2.0684e+000 +2.1663e+000 -8.2956e-001 -2.1359e+000 -1.5435e+000
103 +2.645029226e+002 +2.645029226e+002 +3.421629226e+002 +3.421629226e+002 +1.8311e+000 -1.2246e+000 +8.5481e-001 -5.2596e-001 -9.5245e-001
133 +2.096023095e+002 +2.096023095e+002 +2.872623095e+002 +2.872623095e+002 +1.8028e-001 -4.8173e-001 +1.0602e+000 +2.7253e-001 -6.0504e-001
188 +1.846021071e+002 +1.846021071e+002 +2.622621071e+002 +2.622621071e+002 +1.3090e+000 +1.5505e+000 -1.3443e-001 +2.6191e+000 -6.0020e-001
211 +1.379896773e+002 +1.379896773e+002 +2.156496773e+002 +2.156496773e+002 +4.2438e-002 +4.5510e-001 +1.5133e-001 +1.1850e+000 -4.6749e-001
226 +1.005263683e+002 +1.005263683e+002 +1.781863683e+002 +1.781863683e+002 +1.2699e+000 +4.6335e-001 -2.3092e-001 -1.3717e-001 +1.7460e+000
236 +5.510759607e+001 +5.510759607e+001 +1.327675961e+002 +1.327675961e+002 +1.3818e+000 +4.9948e-002 +5.4687e-001 +6.6841e-001 +1.7642e+000
301 +4.676874491e+001 +4.676874491e+001 +1.244287449e+002 +1.244287449e+002 +1.5664e+000 +3.0352e-002 -9.4668e-001 +2.5168e+000 +2.4701e+000
333 +4.119071999e+001 +4.119071999e+001 +1.188507200e+002 +1.188507200e+002 +1.0929e+000 -7.9993e-001 -3.1051e-001 +3.2704e+000 +1.7356e+000
376 +2.898960615e+001 +2.898960615e+001 +1.066496061e+002 +1.066496061e+002 +1.3467e+000 +1.3487e-001 +2.3857e-001 +3.3277e+000 +1.7608e+000
619 +1.706377921e+001 +1.706377921e+001 +9.472377921e+001 +9.472377921e+001 +3.8909e-001 -7.7258e-001 +6.5220e-001 +3.4128e+000 +2.1448e+000
1477 +1.407645043e+001 +1.407645043e+001 +9.173645043e+001 +9.173645043e+001 +4.5251e-001 -2.1470e+000 +6.1583e-001 +3.3371e+000 +2.1589e+000
2001 +1.215563801e+001 +1.215563801e+001 +8.981563801e+001 +8.981563801e+001 +1.4372e+000 -1.6519e+000 +7.9559e-001 +3.3447e+000 +1.7631e+000
2558 +1.175551751e+001 +1.175551751e+001 +8.941551751e+001 +8.941551751e+001 +1.4359e+000 -8.7923e-001 +7.5415e-001 +3.3739e+000 +2.1909e+000
2608 +9.952586418e+000 +9.952586418e+000 +8.761258642e+001 +8.761258642e+001 +1.4233e+000 +6.2717e-003 +7.5397e-001 +3.3581e+000 +2.1227e+000
2801 +8.544604687e+000 +8.544604687e+000 +8.620460469e+001 +8.620460469e+001 +1.3750e+000 -7.6645e-001 +7.4382e-001 +2.9124e+000 +2.1472e+000
2886 +8.353880441e+000 +8.353880441e+000 +8.601388044e+001 +8.601388044e+001 +1.4022e+000 -8.5154e-001 +7.1614e-001 +2.9453e+000 +1.7742e+000
2991 +7.766855545e+000 +7.766855545e+000 +8.542685554e+001 +8.542685554e+001 +1.4187e+000 -8.1416e-001 +6.7541e-001 +2.9105e+000 +1.7833e+000
3088 +7.642642923e+000 +7.642642923e+000 +8.530264292e+001 +8.530264292e+001 +1.3953e+000 -8.1922e-001 +6.6419e-001 +2.9308e+000 +1.7757e+000
3100 +7.570367020e+000 +7.570367020e+000 +8.523036702e+001 +8.523036702e+001 +1.4113e+000 -8.1924e-001 +6.9915e-001 +2.9191e+000 +1.7795e+000
3123 +7.202968661e+000 +7.202968661e+000 +8.486296866e+001 +8.486296866e+001 +1.4025e+000 -8.3341e-001 +6.7259e-001 +2.9100e+000 +1.7779e+000
3151 +7.055258783e+000 +7.055258783e+000 +8.471525878e+001 +8.471525878e+001 +1.3949e+000 -8.5302e-001 +6.8715e-001 +2.9109e+000 +1.7755e+000
% function evaluation | noise-free fitness - Fopt (1.156800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.402876362e+004 +2.402876362e+004 +2.414444362e+004 +2.414444362e+004 +1.4039e+001 +2.4618e+000 -6.5587e+000 -5.8586e+000 +4.2497e+000
2 +1.145940379e+003 +1.145940379e+003 +1.261620379e+003 +1.261620379e+003 +3.2282e+000 +4.7275e+000 -3.8124e+000 -5.2882e+000 +4.2422e+000
3 +5.235305045e+002 +5.235305045e+002 +6.392105045e+002 +6.392105045e+002 -5.7041e+000 +4.4880e+000 -6.3526e+000 +3.9012e+000 +3.4310e+000
6 +4.863314845e+002 +4.863314845e+002 +6.020114845e+002 +6.020114845e+002 +3.0751e+000 +3.6745e+000 -1.0334e+000 -2.7767e+000 -2.3156e-001
16 +3.624270388e+002 +3.624270388e+002 +4.781070388e+002 +4.781070388e+002 +1.4744e+000 +4.1763e+000 -1.6263e+000 -3.7292e+000 +2.7173e+000
19 +2.941385570e+002 +2.941385570e+002 +4.098185570e+002 +4.098185570e+002 +9.4441e-001 +6.8580e-001 -2.4535e+000 -3.4569e+000 +2.9251e+000
30 +9.896145517e+001 +9.896145517e+001 +2.146414552e+002 +2.146414552e+002 -4.4551e-001 +6.3058e-001 -5.4187e-001 +5.3956e-002 +3.6672e+000
92 +6.096568032e+001 +6.096568032e+001 +1.766456803e+002 +1.766456803e+002 -5.9496e-002 -9.6755e-001 -1.5320e+000 +3.5904e+000 +2.4146e+000
164 +4.241979531e+001 +4.241979531e+001 +1.580997953e+002 +1.580997953e+002 +5.7101e-002 +2.0001e+000 -2.0474e+000 +3.5526e+000 +3.6409e+000
285 +4.111323608e+001 +4.111323608e+001 +1.567932361e+002 +1.567932361e+002 +6.0838e-002 +5.5471e-001 -1.9238e+000 +2.2159e+000 +3.3383e+000
292 +3.374941975e+001 +3.374941975e+001 +1.494294198e+002 +1.494294198e+002 -2.4028e-001 -9.1223e-001 -8.0099e-001 +3.0804e+000 +2.8894e+000
512 +2.405512621e+001 +2.405512621e+001 +1.397351262e+002 +1.397351262e+002 +2.0201e-001 +6.7824e-001 -4.5710e-001 +3.0945e+000 +2.8526e+000
885 +2.392432883e+001 +2.392432883e+001 +1.396043288e+002 +1.396043288e+002 +1.2005e+000 -2.7255e-001 -2.1249e-001 +3.0340e+000 +3.3746e+000
